image,roi_blocks,bg_blocks,full_psnr,roi_psnr,bg_psnr,total_cbr,compression_ratio_1_over_cbr,roi_feature_numel,bg_feature_numel,total_feature_numel,threshold,SNR_roi,SNR_bg
01-01-01-0590-240523104503-04-99.jpg,27,29,27.728996523621685,30.410917180618206,26.178814822950876,0.012741815476190476,78.48175181865813,55296,14848,70144,0.5,1,1
01-01-01-0591-240523104514-06-99.jpg,56,0,26.923605594726993,26.923606092676188,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0593-240523104517-06-99.jpg,56,0,28.059718294988805,28.059718294988805,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0594-240523104519-10-99.jpg,53,3,24.695891447502383,24.715678985985306,24.360407865286806,0.01999627976190476,50.00930232308047,108544,1536,110080,0.5,1,1
01-01-01-0595-240523104521-04-99.jpg,41,15,29.83756917606948,30.29291916329964,28.792450403944176,0.016648065476190476,60.06703910253721,83968,7680,91648,0.5,1,1
01-01-01-0599-240523104736-04-99.jpg,56,0,31.696254340278742,31.696254340278742,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0600-240523104740-08-99.jpg,56,0,25.387534778611798,25.38753512821705,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0602-240523104743-04-99.jpg,52,4,31.332401046957642,31.73735091794159,27.993164641379916,0.019717261904761904,50.71698112950327,106496,2048,108544,0.5,1,1
01-01-01-0604-240523104750-08-99.jpg,21,35,26.028406383601244,28.766575882877735,24.954270042140806,0.011067708333333334,90.35294116830693,43008,17920,60928,0.5,1,1
01-01-01-0605-240523104804-04-99.jpg,56,0,29.013986532823935,29.013986532823935,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0607-240523104817-04-99.jpg,56,0,31.6101624430109,31.6101624430109,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
01-01-01-0608-240523104826-04-99.jpg,37,19,30.550300528041276,32.766960204124004,28.04987131505749,0.015531994047619048,64.38323352878892,75776,9728,85504,0.5,1,1
01-01-01-0609-240523104836-04-99.jpg,56,0,31.124479332572395,31.124479332572395,,0.020833333333333332,47.99999999769601,114688,0,114688,0.5,1,1
02-01-01-0004-240524094216-12-99.jpg,11,45,22.426156905697404,26.936775384544983,21.789356326238902,0.008277529761904762,120.80898874945012,22528,23040,45568,0.5,1,1
02-01-01-0004-240524094217-10-99.jpg,20,36,25.493438809870696,28.83342026863518,24.360410349036748,0.010788690476190476,92.68965516382242,40960,18432,59392,0.5,1,1
02-01-01-0004-240524094223-12-99.jpg,31,25,23.536934100047155,27.32014195367221,21.17892461525833,0.013857886904761904,72.16107382029614,63488,12800,76288,0.5,1,1
02-01-01-0007-240524094439-10-99.jpg,38,18,24.803802396681963,25.5567206251707,23.545653187846476,0.015811011904761904,63.24705881952923,77824,9216,87040,0.5,1,1
02-01-01-0007-240524094447-12-99.jpg,17,39,21.351817064392367,22.610223224135837,20.899946861266955,0.009951636904761904,100.48598129831379,34816,19968,54784,0.5,1,1
02-01-01-0008-240524094455-12-99.jpg,22,34,23.055968394028262,26.41775931890944,21.756872513870398,0.01134672619047619,88.1311475332165,45056,17408,62464,0.5,1,1
02-01-01-0008-240524094456-12-99.jpg,10,46,20.734197295677138,24.276151865321758,20.237290029874174,0.007998511904761904,125.02325579832268,20480,23552,44032,0.5,1,1
